n_components,explained_variance_ratio,cumulative_variance,silhouette_score,inertia
2,0.47074345,0.47074345,0.7486461400985718,2.746267557144165
3,0.2473206,0.71806407,0.6190392971038818,8.528913497924805
4,0.12733431,0.84539837,0.5618179440498352,13.246121406555176
5,0.06072646,0.90612483,0.5318902134895325,16.50911521911621
6,0.044612564,0.9507374,0.5196403861045837,17.683698654174805
7,0.015540156,0.9662776,0.5130859017372131,18.525997161865234
8,0.008977599,0.9752552,0.5060293078422546,19.110353469848633
9,0.0069645406,0.98221976,0.502260684967041,19.42283058166504
10,0.004988923,0.98720866,0.5000529289245605,19.651443481445312
11,0.0030990045,0.9903077,0.4978640079498291,19.938819885253906
12,0.0027039114,0.9930116,0.49672412872314453,20.033729553222656
13,0.0011626454,0.99417424,0.4957510530948639,20.033676147460938
14,0.0010237327,0.99519795,0.49500200152397156,20.100461959838867
15,0.00078474765,0.9959827,0.49432021379470825,20.160219192504883
16,0.0007195685,0.99670225,0.49391043186187744,20.19980812072754
17,0.00051754713,0.9972198,0.4936840832233429,20.22353744506836
18,0.00027858518,0.9974984,0.49347615242004395,20.243728637695312
19,0.00024738908,0.99774575,0.49326595664024353,20.260597229003906
20,0.00019929324,0.9979451,0.4930800795555115,20.276243209838867
21,0.00018402202,0.99812907,0.4929567277431488,20.288591384887695
22,0.00014455774,0.9982736,0.49287140369415283,20.297039031982422
23,9.95434e-05,0.99837315,0.49278414249420166,20.304916381835938
24,9.530549e-05,0.99846846,0.4927080273628235,20.312204360961914
25,8.589601e-05,0.99855435,0.4926358461380005,20.318618774414062
26,7.537539e-05,0.99862975,0.4925709068775177,20.32474708557129
27,7.167864e-05,0.99870145,0.4925132989883423,20.329858779907227
28,6.11681e-05,0.9987626,0.49246498942375183,20.334394454956055
29,5.330362e-05,0.9988159,0.49242252111434937,20.33868980407715
30,5.07707e-05,0.9988667,0.49238330125808716,20.3427791595459
31,4.8078447e-05,0.9989148,0.4923413395881653,20.346736907958984
32,4.63834e-05,0.99896115,0.4923027753829956,20.350181579589844
33,4.03055e-05,0.99900144,0.4922674596309662,20.353519439697266
34,3.9027374e-05,0.9990405,0.49223408102989197,20.356693267822266
35,3.7438513e-05,0.9990779,0.492199569940567,20.359777450561523
36,3.604622e-05,0.999114,0.49216964840888977,20.362632751464844
37,3.34046e-05,0.99914736,0.4921404719352722,20.365398406982422
38,3.2342235e-05,0.9991797,0.4921116232872009,20.36810874938965
39,3.1919808e-05,0.99921167,0.4920850098133087,20.370647430419922
40,2.9761903e-05,0.9992414,0.49205687642097473,20.373064041137695
41,2.83131e-05,0.9992697,0.49203208088874817,20.375341415405273
42,2.6848977e-05,0.99929655,0.4920080602169037,20.37749671936035
43,2.5239191e-05,0.99932176,0.49198469519615173,20.3796329498291
44,2.4993566e-05,0.99934673,0.4919617176055908,20.381637573242188
45,2.355316e-05,0.9993703,0.49193814396858215,20.38359832763672
46,2.3025625e-05,0.9993933,0.49191784858703613,20.385498046875
47,2.2254082e-05,0.9994155,0.4918975234031677,20.3873291015625
48,2.137657e-05,0.9994369,0.4918768107891083,20.389135360717773
49,2.1168562e-05,0.9994581,0.49185481667518616,20.39086151123047
50,2.015962e-05,0.9994782,0.49183619022369385,20.392553329467773
